,tweet_id,timestamp,source,expanded_urls,name,dog_stage,dog_rating,jpg_url,img_num,dog_type,conf,retweet_count,favorite_count
0,892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,None,13,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,6514,33819
1,891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,None,12,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,4328,25461
2,891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,None,13,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_retriever,0.168086,8964,42908
3,891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,None,12,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,9774,41048
4,891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,None,None,13,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,3261,20562
5,890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,None,13,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,2158,12041
6,890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",None,None,13,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,16716,56848
7,890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,None,13,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,4429,28226
8,890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,doggo,14,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,7711,32467
9,890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,None,13,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,7624,31166
10,889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,None,13,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,0.377417,5156,28268
11,889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889665388333682689/photo/1,None,puppo,13,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,8538,38818
12,889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",Ted,None,12,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,4735,27672
13,889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889531135344209921/photo/1,Stuart,puppo,13,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,0.953442,2321,15359
14,889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889278841981685760/video/1,Oliver,None,13,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,0.626152,5637,25652
15,888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/888917238123831296/photo/1,Jim,None,12,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,0.714719,4709,29611
16,888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",Zeke,None,13,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever,0.46976,4559,26080
17,888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",Ralphus,None,13,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,0.700377,3732,20290
18,888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",Gerald,None,12,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,0.995026,3653,22201
19,887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/887705289381826560/photo/1,Jeffrey,None,13,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,0.821664,5609,30779
20,887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",Canela,None,13,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,0.809197,18781,69871
21,887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/887343217045368832/video/1,None,None,13,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican_hairless,0.330741,10737,34222
22,887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/887101392804085760/photo/1,None,None,12,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,6167,31061
23,886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",Maya,None,13,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.793469,8084,35859
24,886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",Mingus,None,13,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,0.309706,3443,12306
